A golden bookmark	A book opens.|A bookmark rises.	Gail opens her book.|A golden bookmark rises from the page.	When Gail opens her book, a golden bookmark lifts from the page.|It floats toward her and then stops, waiting in the quiet room.	書打開了。|書籤升起來。	瑜瑜打開書。|金色書籤從書頁升起。	瑜瑜打開書時，一枚金色書籤從書頁升起。|它朝她飄過來，然後停下，等在安靜的房間裡。	page
A path of stars	The light comes out.|Follow the stars!	The bookmark stops and glows.|Little stars make a path.	After the bookmark stops, tiny stars begin to shine around its tip.|They form a glowing path that leads Gail into a beautiful library.	光芒出來了。|跟著星星走！	書籤停下來，發出光芒。|小星星排成一條路。	書籤停穩後，小星星開始在尖端周圍閃亮。|它們形成一條發光的路，帶瑜瑜進入美麗的圖書館。	library
The librarian	“Welcome,” he says.|So many books!	A kind librarian meets Gail.|Books fill every shelf.	A kind hedgehog librarian welcomes Gail beneath a dark blue dome.|Books fill every shelf, but the little stars above them have not lit up yet.	「歡迎。」他說。|好多書！	親切的圖書館員迎接瑜瑜。|每個書架都放滿書。	親切的刺蝟圖書館員在深藍色穹頂下迎接瑜瑜。|每個書架都放滿書，但上方的小星星還沒有亮起。	librarian shelf
How stars shine	Read and think.|A star can shine.	“When you understand a story, a star can shine,” he says.|Gail picks up a book.	The librarian explains that a star can shine when a reader understands a story.|Gail wants to fill the dome with light, so she reaches for a book.	閱讀並思考。|星星就能亮。	「當你理解故事，星星就會亮。」他說。|瑜瑜拿起一本書。	圖書館員解釋，當讀者理解一個故事，星星就能亮起。|瑜瑜想讓穹頂充滿光，所以伸手拿了一本書。	understand
Turning too fast	Flip, flip, flip!|No star yet.	Gail turns the pages fast.|She sees no light above her.	Gail quickly turns from one page to the next, hoping to light a star.|She reaches the end, but she has barely noticed what happened in the story.	翻、翻、翻！|星星還沒亮。	瑜瑜飛快地翻頁。|她沒看到頭頂有光。	瑜瑜飛快地翻過一頁又一頁，希望點亮星星。|她翻到結尾，卻幾乎沒注意到故事發生什麼事。	page
More is not enough	Another book!|Still no light.	Gail opens another book.|She rushes through it too.	Gail tries another book and then another chapter, turning the pages even faster.|The dome stays dark, although she has looked through more books.	再一本！|還是沒有光。	瑜瑜打開另一本書。|她也匆匆翻過。	瑜瑜又試另一本書、下一個章節，翻頁翻得更快。|雖然她翻過更多書，穹頂仍然暗暗的。	chapter
Who was it about?	“Who was in it?”|Gail is not sure.	“Who was the story about?” asks the librarian.|Gail cannot remember.	The librarian gently asks Gail to name the main character.|She cannot remember, because she was thinking about the stars instead of the story.	「裡面有誰？」|瑜瑜不確定。	「故事在說誰呢？」圖書館員問。|瑜瑜想不起來。	圖書館員溫柔地請瑜瑜說出主角是誰。|她想不起來，因為她一直想著星星，沒有想故事。	character remember
Choose one book	One book is enough.|Gail sits down.	Gail chooses one book.|She sits down to read slowly.	Gail chooses one book and gives herself time to read it carefully.|For now, she lets the stars wait while she looks for meaning in the story.	一本就夠了。|瑜瑜坐下來。	瑜瑜選一本書。|她坐下來慢慢讀。	瑜瑜選了一本書，給自己時間仔細閱讀。|現在她讓星星先等等，專心尋找故事的意思。	meaning
Look at the cover	Look at the cover.|A fox is here.	Gail looks at the cover and title.|“Will the fox cross the stream?”	The cover shows a fox near a stream, and the title is The Fox and the Bridge.|Gail uses these clues to predict that the fox will need to cross the water.	看看封面。|這裡有狐狸。	瑜瑜看看封面和書名。|「狐狸會過溪嗎？」	封面畫著小溪旁的狐狸，書名是《狐狸與橋》。|瑜瑜根據這些線索，預測狐狸會需要過溪。	cover title predict
Meet the character	The fox needs to cross.|He looks for a way.	The fox wants to cross the stream.|He looks for a safe way.	As she reads, Gail learns that the fox is the main character.|He wants to reach the other side of the stream, but he needs a safe way across.	狐狸需要過溪。|他找找看路。	狐狸想過小溪。|他尋找安全的方法。	讀下去後，瑜瑜知道狐狸是主角。|他想去小溪對岸，但需要找一條安全的路。	character
Where it happens	A stream and a bridge.|Here is the place.	The story is by a stream.|A stone bridge is nearby.	Gail notices the stream, the trees, and a stone bridge in the picture.|These details show the setting and help her understand the fox’s problem.	小溪和一座橋。|故事發生在這裡。	故事發生在小溪旁。|附近有一座石橋。	瑜瑜注意到圖中的小溪、樹木和石橋。|這些細節顯示故事的場景，也幫她理解狐狸的問題。	setting
Three story cards	First, next, last.|Gail sorts the cards.	Gail puts three cards in order.|They show what happens in the story.	Gail arranges three picture cards to follow the events: the fox looks, crosses, and arrives.|Putting them in order helps her remember how one event leads to the next.	首先、接著、最後。|瑜瑜排列卡片。	瑜瑜把三張卡片排好。|卡片顯示故事發生的事。	瑜瑜排好三張圖卡，跟著情節看狐狸找路、過橋、抵達。|依序排列能幫她記住一件事如何接著另一件事發生。	event remember
A useful clue	Look at the bridge.|It is a clue.	Gail points to the stone bridge.|“The fox can use that.”	Gail points to the sturdy bridge in the picture as a useful clue.|It gives her a reason to think the fox can cross without stepping into the stream.	看看那座橋。|它是線索。	瑜瑜指著石橋。|「狐狸可以走那裡。」	瑜瑜指出圖中穩固的橋，這是一條有用的線索。|這讓她有理由認為，狐狸可以不用踩進溪裡就到對岸。	clue reason
What might happen?	“He may cross here.”|Gail thinks ahead.	Gail thinks the fox will use the bridge.|She reads on to find out.	Gail predicts that the fox will use the bridge to reach the far bank.|Her idea comes from the picture, and she keeps reading to check it.	「他可能從這裡過去。」|瑜瑜想想接下來。	瑜瑜認為狐狸會走橋。|她繼續讀來找答案。	瑜瑜預測狐狸會走橋到對岸。|她的想法來自圖片，她繼續讀下去確認。	predict
Check the ending	He made it!|Gail checks the page.	The fox crosses the bridge.|Gail tells why her idea made sense.	At the end, the fox safely reaches the far bank by using the bridge.|Gail can explain why her prediction made sense and point to the detail that supported it.	他到了！|瑜瑜看看書頁。	狐狸走過了橋。|瑜瑜說出她的想法為什麼合理。	結尾時，狐狸走過橋，安全到達對岸。|瑜瑜能解釋預測為什麼合理，並指出支持想法的細節。	explain
Tell it in your own words	The fox needed a way.|He found a bridge.	Gail tells the story in her own words.|She uses the three cards to help.	Gail uses the cards to retell the story in her own words.|Her short summary includes the fox’s problem, his choice, and how the story ends.	狐狸需要一條路。|他找到一座橋。	瑜瑜用自己的話說故事。|她用三張卡片幫忙。	瑜瑜利用卡片，用自己的話重述故事。|她的簡短摘要包括狐狸的問題、選擇，以及故事如何結束。	retell summary
The first star	One star shines!|Gail looks up.	A little star begins to shine.|Gail understands the story now.	As Gail explains the story, one little star lights up above the table.|It shines because she understands what she read, not because she turned the most pages.	一顆星亮了！|瑜瑜抬頭看。	一顆小星星開始亮起。|瑜瑜現在理解故事了。	瑜瑜解釋故事時，桌子上方亮起一顆小星星。|它發光是因為她理解了內容，不是因為她翻了最多頁。	understand
Read with friends	Two friends come.|Gail shares the story.	Rabbit and Deer listen to Gail.|She shares the book with them.	Rabbit and Deer sit beside Gail to hear the story.|When they ask questions, she goes back to the page and shows the details she remembers.	兩位朋友來了。|瑜瑜分享故事。	兔兔和小鹿聽瑜瑜說。|她和他們分享這本書。	兔兔和小鹿坐在瑜瑜身旁聽故事。|他們提問時，她翻回書頁，指出自己記得的細節。	remember
Light from understanding	They look for clues.|More stars shine!	The friends find clues in the book.|More stars shine above them.	The friends use evidence from the pictures to explain their ideas to one another.|As their understanding grows, more stars light the library dome.	大家找線索。|更多星星亮了！	朋友們在書裡找到線索。|更多星星在頭頂發光。	朋友們根據圖片中的證據，互相解釋自己的想法。|隨著理解加深，更多星星照亮圖書館的穹頂。	evidence explain
A book to remember	Gail is home.|She reads with care.	Gail is back in her room.|She keeps the bookmark in her book.	Back in her room, Gail places the golden bookmark between the pages.|She remembers that a story becomes hers when she takes time to understand it.	瑜瑜回家了。|她用心閱讀。	瑜瑜回到房間。|她把書籤留在書裡。	回到房間，瑜瑜把金色書籤夾在書頁之間。|她記得，花時間理解故事，故事才會真正成為自己的。	meaning
