A tiny broom	A little broom!|It slides to Gail.	A tiny broom slides across the floor.|It stops by Gail.	A tiny broomstick charm slides across Gail’s bedroom floor.|It stops beside her slippers, as if it has brought a message.	一把小掃帚！|它滑向瑜瑜。	小掃帚滑過地板。|它停在瑜瑜身旁。	迷你掃帚吊飾滑過瑜瑜房間的地板。|它停在拖鞋旁，彷彿帶來了一個訊息。	broomstick
An invitation	It stops.|Now it glows!	The broom stops and glows.|Gail sees a new place.	Only after the charm stops does a sparkle rise from its handle.|The lights swirl into a doorway to a school on a castle roof.	它停下來。|現在發光了！	掃帚停下來，發出光芒。|瑜瑜看見一個新地方。	吊飾停穩後，一點光才從把手升起。|光點旋轉，變成通往城堡屋頂學校的入口。	sparkle swirl
Meet Mira	Here is Mira.|She is a witch.	Mira is a little witch.|She watches the other pupils fly.	At the school, Gail meets a little witch named Mira.|Mira watches the other pupils fly while she keeps both feet on the ground.	這是米拉。|她是一位小女巫。	米拉是一位小女巫。|她看著其他學生飛行。	在學校裡，瑜瑜遇見名叫米拉的小女巫。|米拉看著其他學生飛行，自己的雙腳仍留在地上。	witch
Too high	It is high.|“I can’t,” says Mira.	The pupils fly high.|Mira feels unsure. “I can’t do that.”	The other pupils fly higher than Mira wants to go.|“I can’t do that,” she says in a whisper, pulling her broom close.	好高喔。|「我不會。」米拉說。	學生們飛得很高。|米拉沒有把握。「我做不到。」	其他學生飛得比米拉想嘗試的高度還高。|「我做不到。」她小聲說，把掃帚拉近身邊。	unsure whisper
The first lesson	Hold on.|Look ahead.	The teacher shows Mira what to do.|“Hold the broom. Look ahead.”	The teacher begins the lesson on the ground.|She shows Mira where to hold the broom and how to look ahead before trying a simple spell.	握好。|看前面。	老師示範給米拉看。|「握住掃帚，看前面。」	老師從地面開始上課。|她先示範握掃帚的位置和看前方的方法，再試簡單的咒語。	lesson spell
A little lift	Up a little!|Oh, a wobble!	Mira says the short chant.|She lifts up, but the broom wobbles.	Mira repeats the short chant and rises a little above the ground.|Then the broom begins to wobble, and she forgets to look ahead.	升高一點！|哎呀，搖晃了！	米拉念出短短的咒語。|她升起來了，但掃帚搖搖晃晃。	米拉重複短短的咒語，離開地面一點點。|接著掃帚開始搖晃，她忘了看前方。	chant wobble
A safe landing	Down she comes.|The cushion is soft.	Mira lands on a soft cushion.|“I can’t,” she says again.	The teacher guides Mira down onto a thick cushion.|Mira is safe, but she pushes the broom away after her first attempt.	她降下來了。|墊子軟軟的。	米拉落在軟墊上。|「我不會。」她又說。	老師引導米拉落到厚厚的墊子上。|米拉很安全，但第一次嘗試後，她把掃帚推開了。	attempt landing
Notice one thing	“You went up!”|Gail smiles.	“You went up a little,” says Gail.|Mira looks at her broom.	“You lifted off the ground,” Gail reminds her.|Mira did not finish the flight, but that small lift was real progress.	「妳升起來了！」|瑜瑜笑了。	「妳剛剛升起來一點點了。」瑜瑜說。|米拉看看她的掃帚。	「妳離開地面了。」瑜瑜提醒她。|米拉還沒完成飛行，但那一小段升高是真正的進步。	progress
One skill at a time	Four little cards.|One step at a time.	The teacher puts out four cards.|Mira can try one small step first.	The teacher lays out four picture cards: hold, hover, turn, and land.|Each card shows one skill, so Mira does not have to learn everything at once.	四張小卡片。|一次一步。	老師放出四張卡片。|米拉可以先試一個小步驟。	老師排出四張圖卡：握好、懸停、轉彎和降落。|每張卡片只教一項技巧，米拉不用一次學會全部。	skill
Just the grip	Hold it like this.|Mira tries.	Mira copies the teacher’s grip.|Today she can start right here.	Mira watches the teacher’s hands and tries to copy the grip.|This time, her task is simply to hold the broom firmly while staying on the ground.	像這樣握住。|米拉試試看。	米拉照著老師的方法握好。|今天她可以從這裡開始。	米拉觀察老師的雙手，試著模仿握法。|這次她的任務只是留在地面，把掃帚握穩。	copy
Three quiet counts	Up a little.|One, two, three.	Mira hovers near the ground.|She counts to three and comes down.	Mira lifts a little and holds the broom steady for three counts.|She learns to hover close to the ground before making a gentle landing.	升高一點。|一、二、三。	米拉在靠近地面的地方懸停。|她數到三，再降下來。	米拉升高一點，穩穩握著掃帚數了三下。|她先學會靠近地面懸停，再輕輕降落。	hover
A little longer	She stays up!|Almost steady.	Mira stays up a little longer.|The broom still moves a bit.	On her next try, Mira stays in the air a little longer.|The broom is almost steady, and a small wobble no longer makes her give up.	她停在空中了！|快穩住了。	米拉在空中多停留了一會兒。|掃帚還是會動一點。	下一次嘗試時，米拉在空中停留得更久。|掃帚快穩住了，小小的搖晃不再讓她放棄。	almost
One small word	“I can’t yet.”|“I can try.”	“I can’t do it yet,” says Mira.|She picks up her broom again.	“I can’t fly the whole course yet,” Mira says.|That last word leaves room for another try, so she picks up her broom again.	「我還不會。」|「我可以試。」	「我還不會。」米拉說。|她再次拿起掃帚。	「我還不會飛完整條路線。」米拉說。|最後那個「還」字留出了再次嘗試的空間，所以她又拿起掃帚。	yet
The first hoop	A low hoop.|Mira goes through!	Mira flies toward a low hoop.|She goes through it slowly.	The teacher sets the first hoop low enough for Mira to feel safe.|Mira looks ahead and passes through, using the skill she has practiced.	一個低低的圈。|米拉穿過去了！	米拉飛向低低的圈。|她慢慢穿過去。	老師把第一個圈設在讓米拉感到安全的低處。|米拉看向前方，運用練過的技巧穿過圈。	skill
A careful turn	Turn a little.|Keep looking ahead.	Mira turns toward the next hoop.|She moves her hands a little.	The next hoop is slightly to one side.|Mira makes a small turn and passes through it, noticing what her hands need to do.	轉一點點。|繼續看前方。	米拉轉向下一個圈。|她稍微調整雙手。	下一個圈稍微偏向一側。|米拉小幅轉彎，穿過圈，留意雙手需要怎麼調整。	attempt
Time to land	Here comes wind.|Time to land.	A breeze moves the broom.|The teacher helps Mira land.	A breeze makes Mira’s broom wobble again.|The teacher gives the landing signal, and Mira comes down before starting another turn.	風吹來了。|該降落了。	微風吹動掃帚。|老師幫米拉降落。	一陣微風讓米拉的掃帚再次搖晃。|老師給出降落的訊號，米拉先降下來，再準備下一次轉彎。	wobble landing
Try the turn again	Try again.|Slowly, Mira.	Mira tries the turn again.|She goes slowly and looks ahead.	Mira takes a breath and tries the turn once more.|She does not need to fly faster; she needs time to notice and adjust.	再試一次。|慢慢來，米拉。	米拉再試一次轉彎。|她慢慢飛，看著前方。	米拉吸一口氣，再次嘗試轉彎。|她不需要飛得更快，而是需要時間觀察和調整。	attempt
Her own small loop	Around she goes!|Down she comes.	Mira flies one small loop.|She lands safely. She did it!	Mira completes a low loop and lands safely on the cushion.|She feels capable now, because she knows the small steps that helped her succeed.	她繞了一圈！|她降下來了。	米拉飛完一個小圈。|她安全降落。她做到了！	米拉完成一個低空小圈，安全落在墊子上。|她現在有了把握，因為她知道哪些小步驟幫她成功。	capable succeed
A new beginner	A new friend!|“Try one step.”	Mira gives the cards to a new pupil.|“Try one step,” she says.	A new beginner watches the flying pupils with an unsure smile.|Mira shares the practice cards and tells her, “You can begin with just one step.”	一位新朋友！|「試一個步驟。」	米拉把卡片給新學生。|「試一個步驟。」她說。	一位新手帶著沒把握的笑容，看著飛行的學生。|米拉分享練習卡，告訴她：「妳可以只從一步開始。」	unsure
Back in her room	The light rests.|“Not yet,” says Gail.	Gail is back in her room.|She puts the tiny broom by her book.	Back in her room, Gail places the broom charm beside her book as its light fades.|She remembers that progress can begin with a small step and one hopeful word: yet.	光芒停歇了。|「還不會。」瑜瑜說。	瑜瑜回到房間。|她把小掃帚放在書旁。	回到房間後，瑜瑜把掃帚吊飾放在書旁，看著光芒漸漸消退。|她記得，進步可以從一小步和一個充滿希望的「還」字開始。	progress yet
