A little mirror	A mirror slides.|It stops by Gail.	A little mirror slides to Gail.|She looks at her face in it.	A little mirror slides across Gail’s bedroom floor and stops beside her.|She leans closer to see her reflection in the glass.	一面鏡子滑過來。|它停在瑜瑜身旁。	小鏡子滑向瑜瑜。|她看著鏡中的臉。	小鏡子滑過瑜瑜房間的地板，停在她身旁。|她靠近一點，看著玻璃裡自己的倒影。	mirror reflection
A bright invitation	Now it glows.|A fair is near!	The mirror stops and glows.|A bright fair opens before Gail.	After the mirror has stopped, a thread of light curls out of its frame.|The light opens a doorway to a castle fair filled with games.	現在它發光了。|市集就在眼前！	鏡子停下來，發出光芒。|明亮的市集出現在瑜瑜面前。	鏡子停穩後，一縷光從鏡框繞出來。|光芒打開入口，通往有各種遊戲的城堡市集。	mirror
A place for everyone	So many games!|Gail looks around.	Gail sees games at the fair.|Her friends like different things.	At the fair, there are places to run, dance, paint, and work on a puzzle.|Gail’s friends are excited about different activities, and she wants to try them too.	好多遊戲！|瑜瑜四處看看。	瑜瑜看見市集裡的遊戲。|朋友們喜歡不同的事物。	市集裡有可以跑步、跳舞、畫畫和拼圖的地方。|朋友們對不同活動感到興奮，她也想試試。	different
Rabbit’s quick feet	Rabbit runs fast.|Gail claps.	Rabbit runs and wins a medal.|Gail claps for her friend.	Rabbit runs down the path with quick, light steps and wins a medal.|Gail claps because she can admire her friend’s speed without running as fast herself.	兔兔跑得快。|瑜瑜拍手。	兔兔跑步，贏了一面獎牌。|瑜瑜為朋友拍手。	兔兔沿著小路輕快地跑，贏得一面獎牌。|瑜瑜拍手，因為即使自己沒跑那麼快，也能欣賞朋友的速度。	medal admire
Swan’s lovely dance	Swan can dance.|She turns and turns.	Swan does a lovely dance.|She moves at her own pace.	Swan makes a graceful turn and moves to the music at her own pace.|Gail watches the dance and notices a talent that is different from Rabbit’s.	天鵝會跳舞。|她轉呀轉。	天鵝跳著優美的舞。|她按照自己的步調移動。	天鵝優雅地轉身，跟著音樂按自己的步調移動。|瑜瑜看著舞蹈，發現那是和兔兔不同的才能。	dance pace talent
Owl’s puzzle	Owl looks closely.|The pieces fit!	Owl looks at a puzzle.|He finds where the pieces go.	At the puzzle table, Owl studies the corners and the shapes of each piece.|Gail is impressed by how patiently he finds a place for them.	貓頭鷹仔細看。|拼片合起來了！	貓頭鷹看著拼圖。|他找出拼片該放哪裡。	在拼圖桌前，貓頭鷹研究每一片的角落和形狀。|瑜瑜佩服他耐心找出拼片位置的本領。	puzzle
Trying new things	Gail tries too.|She is not first.	Gail tries the games too.|She does not win a medal.	Gail tries the games, but she is not the fastest runner or the most practiced dancer.|When she starts to compare every result, the fun begins to fade.	瑜瑜也試試。|她不是第一名。	瑜瑜也試了遊戲。|她沒有贏得獎牌。	瑜瑜嘗試遊戲，但她不是最快的跑者，也不是最熟練的舞者。|當她開始比較每個結果，樂趣逐漸消失。	compare
A strange reflection	The medals look big.|Gail looks small.	The mirror makes medals look big.|Gail looks very small in it.	The magic mirror makes the medals look enormous and Gail’s reflection look tiny.|Its strange portrait makes her feel as if prizes are the only things that matter.	獎牌看起來好大。|瑜瑜看起來好小。	鏡子讓獎牌看起來很大。|鏡中的瑜瑜非常小。	魔法鏡把獎牌變得巨大，把瑜瑜的倒影變得很小。|這幅奇怪的肖像讓她覺得，好像只有獎品才重要。	portrait reflection
Looking in the wrong place	“Am I good?”|Gail feels small.	Gail looks at the mirror again.|She forgets what she has learned.	Gail keeps checking whether she is better than someone else.|She stops noticing her own small improvements because the mirror always points to a winner.	「我好嗎？」|瑜瑜覺得自己很渺小。	瑜瑜又看了一次鏡子。|她忘了自己已經學到的事。	瑜瑜不斷確認自己有沒有比別人厲害。|鏡子總是指向贏家，讓她不再留意自己的小進步。	own
Pieces in the wind	Oh! The pieces fly!|Where do they go?	Wind scatters the star puzzle.|The friends stop their games.	A sudden wind scatters the pieces of a star puzzle across the table.|The friends leave their games and gather to help put it back together.	哎呀！拼片飛了！|它們跑去哪裡？	風把星星拼圖吹散了。|朋友們停下遊戲。	一陣突如其來的風把星星拼圖吹散在桌上。|朋友們離開遊戲，一起幫忙把拼圖拼回去。	puzzle
